strategy,ticker,entry_date,exit_date,entry_year,exit_year,shares,entry_price,exit_price,invested,return_pct,pl_dollars
GoldenCross,AAPL,2022-01-12,2022-06-06,2022,2022,58.0248,172.34,144.27,10000,-16.29,-1628.8
GoldenCross,AAPL,2022-01-12,2022-06-07,2022,2022,58.0248,172.34,141.64,10000,-17.81,-1781.38
GoldenCross,AAPL,2022-01-12,2022-06-08,2022,2022,58.0248,172.34,145.79,10000,-15.41,-1540.55
GoldenCross,AAPL,2022-01-12,2022-06-09,2022,2022,58.0248,172.34,144.32,10000,-16.26,-1625.95
GoldenCross,AAPL,2022-01-12,2022-06-10,2022,2022,58.0248,172.34,137.65,10000,-20.13,-2013.11
GoldenCross,AAPL,2022-01-12,2022-06-13,2022,2022,58.0248,172.34,130.38,10000,-24.35,-2435.0
GoldenCross,AAPL,2022-06-13,2024-12-13,2022,2024,76.7017,130.38,246.78,10000,89.29,8928.58
GoldenCross,AAPL,2022-06-16,2024-12-13,2022,2024,77.1605,129.6,246.78,10000,90.42,9041.8
GoldenCross,AAPL,2023-01-03,2024-12-13,2023,2024,77.9886,128.22,246.78,10000,92.46,9246.18
SMA_5_20,NVDA,2021-04-28,2022-09-16,2021,2022,652.4915,15.33,12.73,10000,-16.97,-1696.84
SMA_5_20,NVDA,2021-04-28,2022-09-19,2021,2022,652.4915,15.33,12.99,10000,-15.21,-1520.9
SMA_5_20,NVDA,2021-04-28,2022-09-20,2021,2022,652.4915,15.33,13.2,10000,-13.89,-1388.62
SMA_5_20,NVDA,2021-04-28,2022-09-21,2021,2022,652.4915,15.33,13.2,10000,-13.9,-1389.92
SMA_5_20,NVDA,2021-04-28,2022-09-22,2021,2022,652.4915,15.33,13.05,10000,-14.83,-1483.11
SMA_5_20,NVDA,2021-04-28,2022-09-23,2021,2022,652.4915,15.33,12.4,10000,-19.07,-1906.67
SMA_5_20,NVDA,2021-04-28,2022-09-26,2021,2022,652.4915,15.33,12.47,10000,-18.6,-1860.4
SMA_5_20,NVDA,2021-04-28,2022-09-27,2021,2022,652.4915,15.33,12.49,10000,-18.5,-1849.98
SMA_5_20,NVDA,2021-04-28,2022-09-28,2021,2022,652.4915,15.33,12.39,10000,-19.13,-1913.19
SMA_5_20,NVDA,2021-04-28,2022-09-29,2021,2022,652.4915,15.33,12.43,10000,-18.88,-1888.42
SMA_5_20,NVDA,2021-04-28,2022-09-30,2021,2022,652.4915,15.33,12.07,10000,-21.24,-2123.66
SMA_5_20,NVDA,2022-09-30,2023-02-14,2022,2023,828.4201,12.07,22.95,10000,90.1,9009.58
